#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Acsl3	Slc27a5	10090.ENSMUSP00000045291	10090.ENSMUSP00000032539	0	0	0	0	0	0.102	0	0.427	0.463
Acsl3	Snap23	10090.ENSMUSP00000045291	10090.ENSMUSP00000112138	0	0	0	0	0.065	0	0	0.467	0.480
Actr2	Eps15l1	10090.ENSMUSP00000000137	10090.ENSMUSP00000129739	0	0	0	0	0.085	0.180	0	0.282	0.414
Actr2	Dstn	10090.ENSMUSP00000000137	10090.ENSMUSP00000099461	0	0	0	0	0.094	0.261	0	0.500	0.636
Atad1	Plaa	10090.ENSMUSP00000157842	10090.ENSMUSP00000102724	0	0	0	0	0.171	0.378	0	0.234	0.570
Atad1	Tomm70a	10090.ENSMUSP00000157842	10090.ENSMUSP00000129186	0	0	0	0	0.114	0.088	0	0.498	0.559
Atp5md	Ndufa5	10090.ENSMUSP00000158561	10090.ENSMUSP00000023851	0	0	0	0	0.812	0.304	0	0.335	0.905
Atp5md	Ndufab1	10090.ENSMUSP00000158561	10090.ENSMUSP00000033157	0	0	0	0	0.504	0	0	0.278	0.627
Atp5md	Cox6b1	10090.ENSMUSP00000158561	10090.ENSMUSP00000075150	0	0	0	0	0.247	0.307	0	0.244	0.571
Bcas2	Slu7	10090.ENSMUSP00000005830	10090.ENSMUSP00000020681	0	0	0	0	0.108	0.590	0	0.109	0.646
Bcas2	Rpa3	10090.ENSMUSP00000005830	10090.ENSMUSP00000012627	0	0	0	0	0.133	0	0.720	0	0.747
Bcas2	Ppil1	10090.ENSMUSP00000005830	10090.ENSMUSP00000024802	0	0	0	0	0.131	0.831	0.720	0.136	0.959
Cct2	Psmd6	10090.ENSMUSP00000036288	10090.ENSMUSP00000022256	0	0	0	0	0.455	0	0	0.047	0.458
Cct2	Gngt2	10090.ENSMUSP00000036288	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.500	0	0.499
Cct2	Ddx1	10090.ENSMUSP00000036288	10090.ENSMUSP00000065987	0	0	0	0	0.408	0.078	0	0.259	0.560
Cct2	Tcp1	10090.ENSMUSP00000036288	10090.ENSMUSP00000116108	0	0	0	0.820	0.989	0.989	0.900	0.751	0.999
Cd274	Prdm1	10090.ENSMUSP00000016640	10090.ENSMUSP00000101129	0	0	0	0	0.079	0	0	0.489	0.509
Cd274	Pecam1	10090.ENSMUSP00000016640	10090.ENSMUSP00000102408	0	0	0	0	0.047	0	0	0.530	0.532
Cenpa	Ctr9	10090.ENSMUSP00000122831	10090.ENSMUSP00000005749	0	0	0	0	0.049	0.372	0	0.116	0.425
Cenpa	Rbbp7	10090.ENSMUSP00000122831	10090.ENSMUSP00000033720	0	0	0	0	0.099	0.362	0.500	0.625	0.878
Cenpa	Polr2k	10090.ENSMUSP00000122831	10090.ENSMUSP00000051968	0	0	0	0	0.080	0.415	0	0.050	0.444
Cenpa	Hmgb2	10090.ENSMUSP00000122831	10090.ENSMUSP00000065940	0	0	0	0	0.293	0.117	0	0.146	0.421
Chmp5	Ubap1	10090.ENSMUSP00000030128	10090.ENSMUSP00000072643	0	0	0	0	0.050	0	0	0.643	0.646
Coa3	Cox6b1	10090.ENSMUSP00000017332	10090.ENSMUSP00000075150	0	0	0	0	0.289	0	0	0.264	0.455
Cox11	Ndufab1	10090.ENSMUSP00000020851	10090.ENSMUSP00000033157	0	0	0	0	0.126	0	0	0.414	0.466
Cox11	Cox6b1	10090.ENSMUSP00000020851	10090.ENSMUSP00000075150	0	0	0	0	0.047	0	0	0.543	0.546
Cox11	Uqcrc2	10090.ENSMUSP00000020851	10090.ENSMUSP00000033176	0.116	0	0	0	0.074	0.135	0	0.540	0.631
Cox6b1	Ovgp1	10090.ENSMUSP00000075150	10090.ENSMUSP00000000573	0	0	0	0	0.119	0.295	0	0.126	0.409
Cox6b1	Coa3	10090.ENSMUSP00000075150	10090.ENSMUSP00000017332	0	0	0	0	0.289	0	0	0.264	0.455
Cox6b1	Cox11	10090.ENSMUSP00000075150	10090.ENSMUSP00000020851	0	0	0	0	0.047	0	0	0.543	0.546
Cox6b1	Ndufa5	10090.ENSMUSP00000075150	10090.ENSMUSP00000023851	0	0	0	0	0.567	0.680	0	0.591	0.938
Cox6b1	Ndufab1	10090.ENSMUSP00000075150	10090.ENSMUSP00000033157	0	0	0	0	0.493	0.678	0	0.398	0.893
Cox6b1	Uqcrc2	10090.ENSMUSP00000075150	10090.ENSMUSP00000033176	0	0	0	0	0.557	0.956	0.720	0.557	0.997
Cox6b1	Atp5md	10090.ENSMUSP00000075150	10090.ENSMUSP00000158561	0	0	0	0	0.247	0.307	0	0.244	0.571
Ctr9	Cenpa	10090.ENSMUSP00000005749	10090.ENSMUSP00000122831	0	0	0	0	0.049	0.372	0	0.116	0.425
Ctr9	Eloc	10090.ENSMUSP00000005749	10090.ENSMUSP00000139480	0	0	0	0	0.058	0.098	0.720	0.099	0.756
Ctr9	Polr2k	10090.ENSMUSP00000005749	10090.ENSMUSP00000051968	0	0	0	0	0.060	0.822	0	0.070	0.830
Ddx1	Psmd6	10090.ENSMUSP00000065987	10090.ENSMUSP00000022256	0	0	0	0	0.589	0.077	0	0.045	0.606
Ddx1	Cct2	10090.ENSMUSP00000065987	10090.ENSMUSP00000036288	0	0	0	0	0.408	0.078	0	0.259	0.560
Ddx1	Nars	10090.ENSMUSP00000065987	10090.ENSMUSP00000157402	0	0	0	0	0.354	0.043	0	0.164	0.439
Ddx1	Matr3	10090.ENSMUSP00000065987	10090.ENSMUSP00000125761	0	0	0	0	0.178	0.097	0	0.505	0.601
Ddx1	Tcp1	10090.ENSMUSP00000065987	10090.ENSMUSP00000116108	0	0	0	0	0.575	0.078	0	0.076	0.607
Ddx1	Elavl1	10090.ENSMUSP00000065987	10090.ENSMUSP00000096549	0	0	0	0	0.198	0.055	0	0.581	0.654
Dnajb9	Pnpla8	10090.ENSMUSP00000015049	10090.ENSMUSP00000043286	0	0	0	0	0.136	0	0	0.375	0.437
Dnlz	Supv3l1	10090.ENSMUSP00000028295	10090.ENSMUSP00000020273	0	0	0	0	0.061	0	0	0.420	0.432
Dstn	Actr2	10090.ENSMUSP00000099461	10090.ENSMUSP00000000137	0	0	0	0	0.094	0.261	0	0.500	0.636
Eif5	Tcp1	10090.ENSMUSP00000126825	10090.ENSMUSP00000116108	0	0	0	0	0.354	0.098	0	0.120	0.442
Eif5	Tomm70a	10090.ENSMUSP00000126825	10090.ENSMUSP00000129186	0	0	0	0	0.446	0	0	0	0.446
Elavl1	Rbm15	10090.ENSMUSP00000096549	10090.ENSMUSP00000054424	0	0	0	0	0.064	0	0	0.490	0.502
Elavl1	Ddx1	10090.ENSMUSP00000096549	10090.ENSMUSP00000065987	0	0	0	0	0.198	0.055	0	0.581	0.654
Elavl1	Matr3	10090.ENSMUSP00000096549	10090.ENSMUSP00000125761	0	0	0	0	0.250	0.178	0	0.457	0.636
Elavl1	Hnrnph2	10090.ENSMUSP00000096549	10090.ENSMUSP00000108828	0	0	0	0	0.211	0	0	0.667	0.726
Eloc	Ctr9	10090.ENSMUSP00000139480	10090.ENSMUSP00000005749	0	0	0	0	0.058	0.098	0.720	0.099	0.756
Eloc	Psmd6	10090.ENSMUSP00000139480	10090.ENSMUSP00000022256	0	0	0	0	0.190	0	0.400	0	0.493
Eloc	Sat1	10090.ENSMUSP00000139480	10090.ENSMUSP00000026318	0	0	0	0	0	0	0	0.536	0.536
Eloc	Polr2k	10090.ENSMUSP00000139480	10090.ENSMUSP00000051968	0	0	0	0	0.227	0	0.500	0.095	0.619
Eny2	Ranbp2	10090.ENSMUSP00000052905	10090.ENSMUSP00000003310	0	0	0	0	0.045	0.051	0.720	0.136	0.751
Eny2	Taf12	10090.ENSMUSP00000052905	10090.ENSMUSP00000030731	0	0	0	0	0.126	0.819	0.720	0.646	0.982
Eny2	Taf4	10090.ENSMUSP00000052905	10090.ENSMUSP00000038610	0	0	0	0	0	0.077	0.720	0.073	0.739
Eps15l1	Actr2	10090.ENSMUSP00000129739	10090.ENSMUSP00000000137	0	0	0	0	0.085	0.180	0	0.282	0.414
Eps15l1	Ubqln2	10090.ENSMUSP00000129739	10090.ENSMUSP00000056888	0	0	0	0	0.046	0.171	0.500	0.184	0.634
Fstl1	Loxl1	10090.ENSMUSP00000110411	10090.ENSMUSP00000057406	0	0	0	0	0.374	0	0	0.131	0.432
Glmn	Gspt1	10090.ENSMUSP00000077168	10090.ENSMUSP00000078940	0	0	0	0	0.075	0.470	0	0	0.489
Gngt2	Cct2	10090.ENSMUSP00000047586	10090.ENSMUSP00000036288	0	0	0	0	0	0	0.500	0	0.499
Gngt2	Tcp1	10090.ENSMUSP00000047586	10090.ENSMUSP00000116108	0	0	0	0	0	0	0.500	0	0.499
Gspt1	Glmn	10090.ENSMUSP00000078940	10090.ENSMUSP00000077168	0	0	0	0	0.075	0.470	0	0	0.489
Gspt1	Rpl29	10090.ENSMUSP00000078940	10090.ENSMUSP00000117834	0	0	0	0	0.150	0.266	0	0.119	0.402
Hdac4	Ranbp2	10090.ENSMUSP00000095249	10090.ENSMUSP00000003310	0	0	0	0	0.066	0.239	0.400	0.424	0.721
Hdac4	Rbbp7	10090.ENSMUSP00000095249	10090.ENSMUSP00000033720	0	0	0	0	0.067	0.315	0	0.272	0.494
Hdac4	Rxra	10090.ENSMUSP00000095249	10090.ENSMUSP00000076491	0	0	0	0	0.050	0.093	0	0.482	0.515
Hmgb2	Cenpa	10090.ENSMUSP00000065940	10090.ENSMUSP00000122831	0	0	0	0	0.293	0.117	0	0.146	0.421
Hnrnph2	Elavl1	10090.ENSMUSP00000108828	10090.ENSMUSP00000096549	0	0	0	0	0.211	0	0	0.667	0.726
Hnrnph2	Matr3	10090.ENSMUSP00000108828	10090.ENSMUSP00000125761	0	0	0	0	0.217	0.096	0	0.695	0.765
Idh3b	Ndufa5	10090.ENSMUSP00000028892	10090.ENSMUSP00000023851	0	0	0	0	0.175	0	0	0.304	0.401
Idh3b	Uqcrc2	10090.ENSMUSP00000028892	10090.ENSMUSP00000033176	0	0	0	0	0.501	0.069	0	0.254	0.623
Ing5	Rbbp7	10090.ENSMUSP00000027505	10090.ENSMUSP00000033720	0	0	0	0	0.058	0.263	0.400	0.183	0.614
Loxl1	Fstl1	10090.ENSMUSP00000057406	10090.ENSMUSP00000110411	0	0	0	0	0.374	0	0	0.131	0.432
Matr3	Ubqln2	10090.ENSMUSP00000125761	10090.ENSMUSP00000056888	0	0	0	0	0.053	0.098	0	0.715	0.735
Matr3	Ddx1	10090.ENSMUSP00000125761	10090.ENSMUSP00000065987	0	0	0	0	0.178	0.097	0	0.505	0.601
Matr3	Elavl1	10090.ENSMUSP00000125761	10090.ENSMUSP00000096549	0	0	0	0	0.250	0.178	0	0.457	0.636
Matr3	Hnrnph2	10090.ENSMUSP00000125761	10090.ENSMUSP00000108828	0	0	0	0	0.217	0.096	0	0.695	0.765
Mtmr1	Snap23	10090.ENSMUSP00000015358	10090.ENSMUSP00000112138	0	0	0	0	0.041	0	0.400	0.101	0.438
Nars	Ddx1	10090.ENSMUSP00000157402	10090.ENSMUSP00000065987	0	0	0	0	0.354	0.043	0	0.164	0.439
Nars	Tcp1	10090.ENSMUSP00000157402	10090.ENSMUSP00000116108	0	0	0	0	0.422	0.097	0	0.093	0.485
Ndfip1	Ndfip2	10090.ENSMUSP00000158314	10090.ENSMUSP00000137875	0	0	0.063	0.949	0.069	0.121	0	0.409	0.486
Ndfip2	Ndfip1	10090.ENSMUSP00000137875	10090.ENSMUSP00000158314	0	0	0.063	0.949	0.069	0.121	0	0.409	0.486
Ndufa5	Idh3b	10090.ENSMUSP00000023851	10090.ENSMUSP00000028892	0	0	0	0	0.175	0	0	0.304	0.401
Ndufa5	Polr2k	10090.ENSMUSP00000023851	10090.ENSMUSP00000051968	0	0	0	0	0.211	0.534	0	0.156	0.662
Ndufa5	Atp5md	10090.ENSMUSP00000023851	10090.ENSMUSP00000158561	0	0	0	0	0.812	0.304	0	0.335	0.905
Ndufa5	Cox6b1	10090.ENSMUSP00000023851	10090.ENSMUSP00000075150	0	0	0	0	0.567	0.680	0	0.591	0.938
Ndufa5	Uqcrc2	10090.ENSMUSP00000023851	10090.ENSMUSP00000033176	0	0	0	0	0.617	0.864	0	0.513	0.972
Ndufa5	Ndufab1	10090.ENSMUSP00000023851	10090.ENSMUSP00000033157	0	0	0	0	0.632	0.999	0.900	0.664	0.999
Ndufab1	Ranbp2	10090.ENSMUSP00000033157	10090.ENSMUSP00000003310	0	0	0	0	0.103	0.378	0	0.072	0.437
Ndufab1	Cox11	10090.ENSMUSP00000033157	10090.ENSMUSP00000020851	0	0	0	0	0.126	0	0	0.414	0.466
Ndufab1	Ndufa5	10090.ENSMUSP00000033157	10090.ENSMUSP00000023851	0	0	0	0	0.632	0.999	0.900	0.664	0.999
Ndufab1	Atp5md	10090.ENSMUSP00000033157	10090.ENSMUSP00000158561	0	0	0	0	0.504	0	0	0.278	0.627
Ndufab1	Cox6b1	10090.ENSMUSP00000033157	10090.ENSMUSP00000075150	0	0	0	0	0.493	0.678	0	0.398	0.893
Ndufab1	Uqcrc2	10090.ENSMUSP00000033157	10090.ENSMUSP00000033176	0	0	0	0	0.366	0.826	0	0.501	0.940
Odc1	Psmd6	10090.ENSMUSP00000128661	10090.ENSMUSP00000022256	0	0	0	0	0.115	0	0.400	0	0.446
Odc1	Sat1	10090.ENSMUSP00000128661	10090.ENSMUSP00000026318	0.064	0	0	0	0.044	0	0.900	0.761	0.975
Ovgp1	Cox6b1	10090.ENSMUSP00000000573	10090.ENSMUSP00000075150	0	0	0	0	0.119	0.295	0	0.126	0.409
Pdzd11	Slc25a5	10090.ENSMUSP00000015812	10090.ENSMUSP00000016463	0	0	0	0	0.095	0	0.720	0.068	0.743
Pecam1	Cd274	10090.ENSMUSP00000102408	10090.ENSMUSP00000016640	0	0	0	0	0.047	0	0	0.530	0.532
Pknox1	Rbbp7	10090.ENSMUSP00000094966	10090.ENSMUSP00000033720	0	0	0	0	0.077	0.083	0.400	0.066	0.462
Pknox1	Rxra	10090.ENSMUSP00000094966	10090.ENSMUSP00000076491	0	0	0	0	0.050	0	0.400	0.134	0.464
Plaa	Psmd6	10090.ENSMUSP00000102724	10090.ENSMUSP00000022256	0	0	0	0	0.411	0	0	0	0.411
Plaa	Pnpla8	10090.ENSMUSP00000102724	10090.ENSMUSP00000043286	0	0	0	0	0.074	0	0	0.523	0.540
Plaa	Vcpip1	10090.ENSMUSP00000102724	10090.ENSMUSP00000051248	0	0	0	0	0.175	0.328	0	0.412	0.645
Plaa	Ubqln2	10090.ENSMUSP00000102724	10090.ENSMUSP00000056888	0	0	0	0	0.048	0.305	0	0.356	0.537
Plaa	Atad1	10090.ENSMUSP00000102724	10090.ENSMUSP00000157842	0	0	0	0	0.171	0.378	0	0.234	0.570
Pnpla8	Dnajb9	10090.ENSMUSP00000043286	10090.ENSMUSP00000015049	0	0	0	0	0.136	0	0	0.375	0.437
Pnpla8	Plaa	10090.ENSMUSP00000043286	10090.ENSMUSP00000102724	0	0	0	0	0.074	0	0	0.523	0.540
Polr2k	Ctr9	10090.ENSMUSP00000051968	10090.ENSMUSP00000005749	0	0	0	0	0.060	0.822	0	0.070	0.830
Polr2k	Rpa3	10090.ENSMUSP00000051968	10090.ENSMUSP00000012627	0	0	0	0	0.153	0	0	0.321	0.400
Polr2k	Ndufa5	10090.ENSMUSP00000051968	10090.ENSMUSP00000023851	0	0	0	0	0.211	0.534	0	0.156	0.662
Polr2k	Taf12	10090.ENSMUSP00000051968	10090.ENSMUSP00000030731	0	0	0	0	0.100	0.534	0.500	0.153	0.798
Polr2k	Rbbp7	10090.ENSMUSP00000051968	10090.ENSMUSP00000033720	0	0	0	0	0.091	0	0.400	0.046	0.434
Polr2k	Taf4	10090.ENSMUSP00000051968	10090.ENSMUSP00000038610	0	0	0	0	0	0.534	0.500	0.215	0.801
Polr2k	Cenpa	10090.ENSMUSP00000051968	10090.ENSMUSP00000122831	0	0	0	0	0.080	0.415	0	0.050	0.444
Polr2k	Tmem60	10090.ENSMUSP00000051968	10090.ENSMUSP00000110914	0	0	0	0	0.098	0	0	0.523	0.551
Polr2k	Eloc	10090.ENSMUSP00000051968	10090.ENSMUSP00000139480	0	0	0	0	0.227	0	0.500	0.095	0.619
Ppil1	Bcas2	10090.ENSMUSP00000024802	10090.ENSMUSP00000005830	0	0	0	0	0.131	0.831	0.720	0.136	0.959
Ppil1	Slu7	10090.ENSMUSP00000024802	10090.ENSMUSP00000020681	0	0	0	0	0.044	0.534	0.800	0.262	0.925
Prdm1	Cd274	10090.ENSMUSP00000101129	10090.ENSMUSP00000016640	0	0	0	0	0.079	0	0	0.489	0.509
Psmd6	Plaa	10090.ENSMUSP00000022256	10090.ENSMUSP00000102724	0	0	0	0	0.411	0	0	0	0.411
Psmd6	Odc1	10090.ENSMUSP00000022256	10090.ENSMUSP00000128661	0	0	0	0	0.115	0	0.400	0	0.446
Psmd6	Cct2	10090.ENSMUSP00000022256	10090.ENSMUSP00000036288	0	0	0	0	0.455	0	0	0.047	0.458
Psmd6	Eloc	10090.ENSMUSP00000022256	10090.ENSMUSP00000139480	0	0	0	0	0.190	0	0.400	0	0.493
Psmd6	Tcp1	10090.ENSMUSP00000022256	10090.ENSMUSP00000116108	0	0	0	0	0.405	0.218	0	0.062	0.526
Psmd6	Ubqln2	10090.ENSMUSP00000022256	10090.ENSMUSP00000056888	0	0	0	0	0.094	0.509	0	0.135	0.581
Psmd6	Ddx1	10090.ENSMUSP00000022256	10090.ENSMUSP00000065987	0	0	0	0	0.589	0.077	0	0.045	0.606
Ranbp2	Ndufab1	10090.ENSMUSP00000003310	10090.ENSMUSP00000033157	0	0	0	0	0.103	0.378	0	0.072	0.437
Ranbp2	Hdac4	10090.ENSMUSP00000003310	10090.ENSMUSP00000095249	0	0	0	0	0.066	0.239	0.400	0.424	0.721
Ranbp2	Eny2	10090.ENSMUSP00000003310	10090.ENSMUSP00000052905	0	0	0	0	0.045	0.051	0.720	0.136	0.751
Rbbp7	Ing5	10090.ENSMUSP00000033720	10090.ENSMUSP00000027505	0	0	0	0	0.058	0.263	0.400	0.183	0.614
Rbbp7	Tcp1	10090.ENSMUSP00000033720	10090.ENSMUSP00000116108	0	0	0	0	0.390	0.100	0	0.053	0.434
Rbbp7	Polr2k	10090.ENSMUSP00000033720	10090.ENSMUSP00000051968	0	0	0	0	0.091	0	0.400	0.046	0.434
Rbbp7	Pknox1	10090.ENSMUSP00000033720	10090.ENSMUSP00000094966	0	0	0	0	0.077	0.083	0.400	0.066	0.462
Rbbp7	Hdac4	10090.ENSMUSP00000033720	10090.ENSMUSP00000095249	0	0	0	0	0.067	0.315	0	0.272	0.494
Rbbp7	Cenpa	10090.ENSMUSP00000033720	10090.ENSMUSP00000122831	0	0	0	0	0.099	0.362	0.500	0.625	0.878
Rbm15	Elavl1	10090.ENSMUSP00000054424	10090.ENSMUSP00000096549	0	0	0	0	0.064	0	0	0.490	0.502
Rpa3	Bcas2	10090.ENSMUSP00000012627	10090.ENSMUSP00000005830	0	0	0	0	0.133	0	0.720	0	0.747
Rpa3	Polr2k	10090.ENSMUSP00000012627	10090.ENSMUSP00000051968	0	0	0	0	0.153	0	0	0.321	0.400
Rpl29	Ubqln2	10090.ENSMUSP00000117834	10090.ENSMUSP00000056888	0	0	0	0	0.275	0.304	0	0.062	0.485
Rpl29	Gspt1	10090.ENSMUSP00000117834	10090.ENSMUSP00000078940	0	0	0	0	0.150	0.266	0	0.119	0.402
Rxra	Pknox1	10090.ENSMUSP00000076491	10090.ENSMUSP00000094966	0	0	0	0	0.050	0	0.400	0.134	0.464
Rxra	Hdac4	10090.ENSMUSP00000076491	10090.ENSMUSP00000095249	0	0	0	0	0.050	0.093	0	0.482	0.515
Sat1	Eloc	10090.ENSMUSP00000026318	10090.ENSMUSP00000139480	0	0	0	0	0	0	0	0.536	0.536
Sat1	Odc1	10090.ENSMUSP00000026318	10090.ENSMUSP00000128661	0.064	0	0	0	0.044	0	0.900	0.761	0.975
Serpinc1	Slc27a5	10090.ENSMUSP00000068971	10090.ENSMUSP00000032539	0	0	0	0	0.651	0	0	0.098	0.671
Slc25a5	Pdzd11	10090.ENSMUSP00000016463	10090.ENSMUSP00000015812	0	0	0	0	0.095	0	0.720	0.068	0.743
Slc25a5	Tomm70a	10090.ENSMUSP00000016463	10090.ENSMUSP00000129186	0	0	0	0	0.162	0.079	0	0.317	0.427
Slc25a5	Uqcrc2	10090.ENSMUSP00000016463	10090.ENSMUSP00000033176	0	0	0	0	0.440	0.148	0	0.404	0.691
Slc27a5	Acsl3	10090.ENSMUSP00000032539	10090.ENSMUSP00000045291	0	0	0	0	0	0.102	0	0.427	0.463
Slc27a5	Serpinc1	10090.ENSMUSP00000032539	10090.ENSMUSP00000068971	0	0	0	0	0.651	0	0	0.098	0.671
Slu7	Bcas2	10090.ENSMUSP00000020681	10090.ENSMUSP00000005830	0	0	0	0	0.108	0.590	0	0.109	0.646
Slu7	Ppil1	10090.ENSMUSP00000020681	10090.ENSMUSP00000024802	0	0	0	0	0.044	0.534	0.800	0.262	0.925
Snap23	Mtmr1	10090.ENSMUSP00000112138	10090.ENSMUSP00000015358	0	0	0	0	0.041	0	0.400	0.101	0.438
Snap23	Acsl3	10090.ENSMUSP00000112138	10090.ENSMUSP00000045291	0	0	0	0	0.065	0	0	0.467	0.480
Supv3l1	Dnlz	10090.ENSMUSP00000020273	10090.ENSMUSP00000028295	0	0	0	0	0.061	0	0	0.420	0.432
Taf12	Polr2k	10090.ENSMUSP00000030731	10090.ENSMUSP00000051968	0	0	0	0	0.100	0.534	0.500	0.153	0.798
Taf12	Eny2	10090.ENSMUSP00000030731	10090.ENSMUSP00000052905	0	0	0	0	0.126	0.819	0.720	0.646	0.982
Taf12	Taf4	10090.ENSMUSP00000030731	10090.ENSMUSP00000038610	0	0	0	0	0.049	0.978	0.800	0.985	0.999
Taf4	Taf12	10090.ENSMUSP00000038610	10090.ENSMUSP00000030731	0	0	0	0	0.049	0.978	0.800	0.985	0.999
Taf4	Eny2	10090.ENSMUSP00000038610	10090.ENSMUSP00000052905	0	0	0	0	0	0.077	0.720	0.073	0.739
Taf4	Polr2k	10090.ENSMUSP00000038610	10090.ENSMUSP00000051968	0	0	0	0	0	0.534	0.500	0.215	0.801
Tcp1	Psmd6	10090.ENSMUSP00000116108	10090.ENSMUSP00000022256	0	0	0	0	0.405	0.218	0	0.062	0.526
Tcp1	Trappc3	10090.ENSMUSP00000116108	10090.ENSMUSP00000030660	0	0.755	0	0	0.096	0.051	0	0.053	0.774
Tcp1	Uqcrc2	10090.ENSMUSP00000116108	10090.ENSMUSP00000033176	0	0	0	0	0.288	0.091	0	0.175	0.419
Tcp1	Rbbp7	10090.ENSMUSP00000116108	10090.ENSMUSP00000033720	0	0	0	0	0.390	0.100	0	0.053	0.434
Tcp1	Cct2	10090.ENSMUSP00000116108	10090.ENSMUSP00000036288	0	0	0	0.820	0.989	0.989	0.900	0.751	0.999
Tcp1	Gngt2	10090.ENSMUSP00000116108	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.500	0	0.499
Tcp1	Ddx1	10090.ENSMUSP00000116108	10090.ENSMUSP00000065987	0	0	0	0	0.575	0.078	0	0.076	0.607
Tcp1	Eif5	10090.ENSMUSP00000116108	10090.ENSMUSP00000126825	0	0	0	0	0.354	0.098	0	0.120	0.442
Tcp1	Nars	10090.ENSMUSP00000116108	10090.ENSMUSP00000157402	0	0	0	0	0.422	0.097	0	0.093	0.485
Tmem60	Polr2k	10090.ENSMUSP00000110914	10090.ENSMUSP00000051968	0	0	0	0	0.098	0	0	0.523	0.551
Tomm70a	Slc25a5	10090.ENSMUSP00000129186	10090.ENSMUSP00000016463	0	0	0	0	0.162	0.079	0	0.317	0.427
Tomm70a	Uqcrc2	10090.ENSMUSP00000129186	10090.ENSMUSP00000033176	0	0	0	0	0.158	0	0	0.419	0.490
Tomm70a	Eif5	10090.ENSMUSP00000129186	10090.ENSMUSP00000126825	0	0	0	0	0.446	0	0	0	0.446
Tomm70a	Atad1	10090.ENSMUSP00000129186	10090.ENSMUSP00000157842	0	0	0	0	0.114	0.088	0	0.498	0.559
Trappc3	Tcp1	10090.ENSMUSP00000030660	10090.ENSMUSP00000116108	0	0.755	0	0	0.096	0.051	0	0.053	0.774
Ubap1	Chmp5	10090.ENSMUSP00000072643	10090.ENSMUSP00000030128	0	0	0	0	0.050	0	0	0.643	0.646
Ubqln2	Psmd6	10090.ENSMUSP00000056888	10090.ENSMUSP00000022256	0	0	0	0	0.094	0.509	0	0.135	0.581
Ubqln2	Rpl29	10090.ENSMUSP00000056888	10090.ENSMUSP00000117834	0	0	0	0	0.275	0.304	0	0.062	0.485
Ubqln2	Plaa	10090.ENSMUSP00000056888	10090.ENSMUSP00000102724	0	0	0	0	0.048	0.305	0	0.356	0.537
Ubqln2	Eps15l1	10090.ENSMUSP00000056888	10090.ENSMUSP00000129739	0	0	0	0	0.046	0.171	0.500	0.184	0.634
Ubqln2	Matr3	10090.ENSMUSP00000056888	10090.ENSMUSP00000125761	0	0	0	0	0.053	0.098	0	0.715	0.735
Uqcrc2	Slc25a5	10090.ENSMUSP00000033176	10090.ENSMUSP00000016463	0	0	0	0	0.440	0.148	0	0.404	0.691
Uqcrc2	Cox11	10090.ENSMUSP00000033176	10090.ENSMUSP00000020851	0.116	0	0	0	0.074	0.135	0	0.540	0.631
Uqcrc2	Ndufa5	10090.ENSMUSP00000033176	10090.ENSMUSP00000023851	0	0	0	0	0.617	0.864	0	0.513	0.972
Uqcrc2	Idh3b	10090.ENSMUSP00000033176	10090.ENSMUSP00000028892	0	0	0	0	0.501	0.069	0	0.254	0.623
Uqcrc2	Ndufab1	10090.ENSMUSP00000033176	10090.ENSMUSP00000033157	0	0	0	0	0.366	0.826	0	0.501	0.940
Uqcrc2	Tcp1	10090.ENSMUSP00000033176	10090.ENSMUSP00000116108	0	0	0	0	0.288	0.091	0	0.175	0.419
Uqcrc2	Tomm70a	10090.ENSMUSP00000033176	10090.ENSMUSP00000129186	0	0	0	0	0.158	0	0	0.419	0.490
Uqcrc2	Cox6b1	10090.ENSMUSP00000033176	10090.ENSMUSP00000075150	0	0	0	0	0.557	0.956	0.720	0.557	0.997
Vcpip1	Plaa	10090.ENSMUSP00000051248	10090.ENSMUSP00000102724	0	0	0	0	0.175	0.328	0	0.412	0.645
